PGC,PGC1,T17,Vcmb,DM,e_DM,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMsnIa,e_DMsnIa,distance_mpc,distance_err_mpc,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB
956881,17233,0,14185,36.706,0.69,,,,,,,219.38149918979124,69.70995062040761,0.04731606690385787,82.0296,-12.1588,214.7463,-23.917,303.2468,-68.6294
956938,956938,0,10052,36.046,0.76,,,,,,,161.88253626421067,56.657743852342016,0.03352986284931825,97.3367,-12.1544,221.3778,-10.3546,325.3595,-82.8297
957152,957152,0,11492,35.936,0.52,,,,,,,153.8863149819954,36.85097882890621,0.03833318582017164,166.5455,-12.1386,266.4815,43.1607,121.7985,-29.1597
957238,957238,0,8987,35.916,0.87,,,,,,,152.4754767659914,61.08927021364453,0.029977405235457926,45.0206,-12.1319,192.841,-56.3489,292.0077,-33.0504
957355,957355,0,9425,35.226,0.65,,,,,,,110.96857267741241,33.2168955609187,0.03143841597242583,341.8702,-12.1239,54.1325,-57.3207,274.0606,26.1208
957447,957447,0,14850,37.166,1.09,,,,,,,271.14400086883063,136.10440531126284,0.04953426813692558,48.1404,-12.117,195.5179,-53.712,292.723,-36.0433
957628,957628,0,12670,35.786,0.59,,,,,,,143.61506529074785,39.02093719920543,0.04226257086160587,0.9659,-12.1025,84.0253,-71.2853,281.174,8.7184
957757,957637,0,14895,37.156,0.69,,,,,,,269.8982073472013,85.76197526316048,0.04968437197976475,205.3956,-12.0944,321.7808,48.9335,131.367,7.6552
957839,15524,0,9087,36.016,1.09,,,,,,,159.6614245993414,80.14421553348272,0.03031096933065608,67.3705,-12.0875,207.7302,-36.9207,297.5915,-54.5388
958926,958926,0,6805,34.176,0.59,,,,,,,68.4226672765952,18.5907836158896,0.02269903667823425,195.2032,-12.0069,306.5603,50.7988,128.4008,-1.8632
959072,54169,0,7449,34.876,0.56,,,,,,,94.44957325077057,24.357556093569833,0.02484718945131035,227.2499,-11.9967,347.9029,38.5801,139.4502,27.6056
959375,15524,0,9442,36.716,0.91,,,,,,,220.39411818101112,92.3606704215039,0.03149512186860952,66.6923,-11.9741,207.2485,-37.4736,297.5807,-53.8659
959485,959485,0,14683,35.936,0.61,,,,,,,153.8863149819954,43.22903285698613,0.04897721609794467,150.763,-11.9658,251.1018,33.47,117.9693,-44.2897
960254,177357,0,14637,37.126,0.69,,,,,,,266.19506511518335,84.58527684926648,0.04882377661415352,68.156,-11.9072,207.931,-36.1482,298.1392,-55.2624
960422,52718,0,7689,35.256,0.67,,,,,,,112.5122992965767,34.71526518059679,0.025647743279785914,221.4633,-11.8922,342.0961,42.1158,136.8146,22.471
960602,960602,0,15089,36.566,0.56,,,,,,,205.68375866278902,53.04368793560737,0.050331486324449164,299.7137,-11.8796,29.6421,-20.2661,237.1647,58.2102
960853,960853,0,8019,35.016,0.52,,,,,,,100.73954848112501,24.123983791189303,0.026748504793939813,242.6439,-11.8589,0.7094,27.9477,148.1534,40.8578
960921,960921,0,15228,36.966,0.59,,,,,,,247.28626781870224,67.18892552981428,0.050795140416774597,195.8483,-11.8524,307.574,50.9115,128.4233,-1.2138
960944,15524,0,10191,35.766,0.76,,,,,,,142.2983944579332,49.80343259904518,0.033993516941643674,66.5891,-11.8509,207.0538,-37.5125,297.7552,-53.7444
961031,961031,0,14444,35.916,0.56,,,,,,,152.4754767659914,39.32182910303557,0.04817999791042109,330.9876,-11.8448,45.8333,-47.9195,268.7312,35.7435
961713,961713,0,9610,35.826,0.65,,,,,,,146.28506869998535,43.7883964071055,0.032055509548542416,64.7365,-11.7888,205.9921,-39.1243,297.3102,-51.9501
962351,962351,0,6635,35.016,0.76,,,,,,,100.73954848112501,35.258130156353594,0.02213197771639739,353.1048,-11.7369,68.7846,-65.9026,278.9259,16.0993
962632,962632,0,17219,36.613,0.25,,,,,36.613,0.25,210.1841680264353,24.198346604051284,0.05743640155216981,48.2452,-11.7112,195.0118,-53.4207,293.2399,-36.0675
962854,962854,0,9242,36.416,0.72,,,,,,,191.95525237613774,63.64703558062147,0.030827993678213213,344.9142,-11.6914,57.9438,-59.5759,275.8188,23.5688
