PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
3843870,36.29,0.5,181.1,14084,14127,14242,1137,513,513,81.6,0.04750619843812082,229.5931,14.4168,20.0623,53.5452,110.1893,37.8286,-3851,10473,8664
3843877,37.11,0.52,264.2,20673,20749,20818,1995,905,905,83.1,0.06944137333835129,229.5975,22.196,32.7124,56.3694,100.3338,38.6244,-2907,15947,12952
3843996,37.2,0.46,275.4,16992,17162,17077,-2636,-1073,-1073,64.8,0.05696274053698843,229.6752,47.5512,78.3452,54.8201,68.635,35.5177,5089,13009,9970
3843997,37.07,0.55,259.4,22707,22710,22877,4488,2139,2139,93.4,0.07630945805848124,229.6753,4.819,7.1065,48.4418,121.9298,35.8389,-9736,15625,13296
3844020,36.61,0.53,209.9,18235,18270,18396,3360,1594,1594,91.8,0.06136245095265205,229.6936,12.3677,17.1173,52.5098,112.7634,37.5814,-5602,13352,11143
3844278,37.37,0.49,297.9,25672,25754,25814,4838,2292,2292,92.5,0.08610623553445097,229.8597,23.3967,34.9215,56.4498,98.8071,38.9128,-3068,19803,16177
3844295,36.43,0.55,193.2,24587,24607,24752,11303,6284,6284,136.3,0.0825637848434466,229.8715,8.5434,11.9876,50.4004,117.5125,36.9668,-9081,17437,14797
3844316,37.34,0.56,293.8,26256,26358,26387,5733,2756,2756,96.0,0.08801755779993639,229.8811,28.4605,44.0538,57.3518,92.2982,38.9021,-822,20496,16552
3844323,36.62,0.53,210.9,16283,16306,16447,1272,573,573,81.4,0.05486128673724007,229.8845,9.3967,13.1346,50.8464,116.4739,37.1707,-5792,11631,9852
3844375,38.15,0.52,426.6,24800,24826,24963,-4895,-1967,-1967,62.3,0.0832676050843147,229.9314,9.8984,13.851,51.0703,115.8711,37.324,-8614,17764,15052
