galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0005445-183651,1.4355,-18.6141,15654,36.084820334688686,0.5239999890327454,6dFGSv,FP
g0005569-135945,1.4871,-13.9958,5389,34.454734668025964,0.6324999928474426,6dFGSv,FP
g0005596-531636,1.4982,-53.2766,9745,35.43910286753069,0.5960000157356262,6dFGSv,FP
g0006036-521308,1.51485,-52.2188,9919,35.31653312907767,0.48799997568130493,6dFGSv,FP
g0006084-503850,1.5351,-50.6473,10001,35.805910911948445,0.4854999780654907,6dFGSv,FP
g0006153-524641,1.56375,-52.778,10702,35.555018388176826,0.4884999990463257,6dFGSv,FP
g0006285-034258,1.61865,-3.7161,5851,34.05784422709589,0.45499998331069946,6dFGSv,FP
g0006288-534938,1.62,-53.8273,10828,35.71393489748217,0.5239999890327454,6dFGSv,FP
g0006317-122851,1.63215,-12.4809,13960,35.96212080478048,0.6270000338554382,6dFGSv,FP
g0006327-521041,1.63635,-52.1781,10339,36.225586390667864,0.7315000295639038,6dFGSv,FP
g0006379-531154,1.6581,-53.1984,10914,36.64461336968855,0.7384999990463257,6dFGSv,FP
g0006430-604346,1.6791,-60.7296,10687,36.015472829131646,0.5774999856948853,6dFGSv,FP
g0006484-510613,1.70145,-51.1035,10093,35.898295085009856,0.5964999794960022,6dFGSv,FP
g0006527-502454,1.7196,-50.4151,9910,35.585062013052884,0.48749998211860657,6dFGSv,FP
g0007303-610926,1.8762,-61.1571,8801,35.09735371549572,0.5325000286102295,6dFGSv,FP
g0007325-533139,1.8852,-53.5276,10796,36.35050804744721,0.578499972820282,6dFGSv,FP
g0007446-015645,1.9359,-1.9459,10976,35.917914217771546,0.5914999842643738,6dFGSv,FP
g0007486-544630,1.95255,-54.7749,9394,34.85894640783813,0.4989999830722809,6dFGSv,FP
g0007527-484800,1.96935,-48.8001,10561,35.5102189631355,0.5350000262260437,6dFGSv,FP
g0008249-051305,2.10375,-5.2179,11280,36.64873916991996,0.7929999828338623,6dFGSv,FP
g0008259-003631,2.1078,-0.6087,11784,36.84215730842547,0.6539999842643738,6dFGSv,FP
g0008343-105658,2.1429,-10.9494,8772,35.6596867928826,0.6169999837875366,6dFGSv,FP
g0008362-584804,2.151,-58.8012,9117,36.58695340771577,0.6334999799728394,6dFGSv,FP
g0008466-565900,2.19435,-56.9833,8118,35.69193889685211,0.4975000023841858,6dFGSv,FP
g0008566-534936,2.2356,-53.8267,12417,35.95277703304684,0.5214999914169312,6dFGSv,FP
g0009005-042230,2.25195,-4.3751,8761,36.46996204166646,0.6830000281333923,6dFGSv,FP
g0009021-794959,2.25855,-79.833,11194,36.19612027579685,0.5040000081062317,6dFGSv,FP
g0009264-350825,2.3598,-35.1402,14514,36.262629242214445,0.5329999923706055,6dFGSv,FP
g0009517-351849,2.46525,-35.3137,15384,36.47254009520575,0.5555000305175781,6dFGSv,FP
g0010161-004350,2.56695,-0.7306,11455,36.01116908293383,0.5550000071525574,6dFGSv,FP
g0010163-365148,2.568,-36.8633,8226,34.85363728206128,0.6069999933242798,6dFGSv,FP
g0010185-570637,2.57715,-57.1102,9138,35.984949535382,0.6040000319480896,6dFGSv,FP
g0010234-070504,2.59755,-7.0844,5948,34.18454845383421,0.4710000157356262,6dFGSv,FP
g0010393-564813,2.66355,-56.8035,10335,35.34924616101203,0.5145000219345093,6dFGSv,FP
g0010418-042755,2.67435,-4.4653,11160,35.78451470038627,0.546999990940094,6dFGSv,FP
g0010428-201929,2.6784,-20.3246,15661,36.708291103994625,0.5404999852180481,6dFGSv,FP
g0011126-333443,2.80245,-33.5786,7583,33.941399045843994,0.4964999854564667,6dFGSv,FP
g0011229-565726,2.8455,-56.9573,9617,35.932891730170574,0.49800002574920654,6dFGSv,FP
g0011269-032826,2.862,-3.4738,11100,37.27830855044107,0.6234999895095825,6dFGSv,FP
g0011416-565547,2.92335,-56.9297,9167,36.00332975070789,0.5019999742507935,6dFGSv,FP
g0011436-183103,2.93175,-18.5176,15656,36.881597648914656,0.609499990940094,6dFGSv,FP
g0011596-193123,2.99835,-19.523,15509,36.685112648072874,0.5214999914169312,6dFGSv,FP
g0012061-002455,3.0252,-0.4152,5100,33.964544551822236,0.47850000858306885,6dFGSv,FP
g0012109-192939,3.0453,-19.494,15689,36.56216997869507,0.5290000438690186,6dFGSv,FP
g0012116-105541,3.04845,-10.9281,5056,34.68472891009275,0.5160000324249268,6dFGSv,FP
g0012145-271124,3.06045,-27.1899,10167,35.0176577526374,0.4975000023841858,6dFGSv,FP
g0012187-370444,3.078,-37.0788,14973,36.54273773454298,0.5720000267028809,6dFGSv,FP
g0012337-000255,3.1404,-0.0485,11576,35.55198632264292,0.6440000534057617,6dFGSv,FP
g0012593-064623,3.24705,-6.7732,11494,36.446049670904415,0.5950000286102295,6dFGSv,FP
g0013036-054331,3.2652,-5.7253,11583,36.077298859123864,0.5360000133514404,6dFGSv,FP
g0013154-492027,3.3144,-49.3408,9786,34.977219790025785,0.534500002861023,6dFGSv,FP
g0013197-373052,3.3318,-37.5145,15035,36.25871083066983,0.5040000081062317,6dFGSv,FP
g0013208-095522,3.3366,-9.9227,7842,34.9188278760368,0.5090000033378601,6dFGSv,FP
g0013242-145025,3.35085,-14.8403,10461,35.531059638696206,0.6464999914169312,6dFGSv,FP
g0013291-064744,3.37125,-6.7956,7897,33.96500433170483,0.5460000038146973,6dFGSv,FP
g0013340-413622,3.3918,-41.6061,11936,36.002987756412715,0.5400000214576721,6dFGSv,FP
