CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
2016afk,155.625,15.0966,0.04677,9.44086,0,108.70386745962371,tully-fisher,5908.265400339717,-1.8797909204092736e-08
PS16fa,154.819,4.7617,0.04734,10.2881,0,177.03331252951614,tully-fisher,15670.396872586667,8.98204520938909e-08
PS15aii,191.19,9.7597,0.04768,10.3823,0,186.89814703121974,tully-fisher,17465.45868185171,1.0979320832087549e-07
PS17akj,207.455,-3.08,0.0478,8.85712,0,77.68013929360566,tully-fisher,3017.1020203369885,-5.09664401722948e-08
ATLAS16agv,250.29,50.9724,0.04777,9.10622,0,89.65716365905149,tully-fisher,4019.2034976929713,-3.981655752277931e-08
ASASSN-15pm,24.6504,-4.6798,0.04777,10.292,0,177.43120240759217,tully-fisher,15740.915793901968,9.0605080911434e-08
1995ac,341.392,-8.7513,0.04867,10.3844,0,187.12421681254045,tully-fisher,17507.736258853318,1.10263609805082e-07
AT2016gmg,320.924,33.1147,0.04839,10.9955,0,266.0143075035887,tully-fisher,35381.80589830693,3.091394556675254e-07
1990af,323.747,-62.7371,0.05018,11.2421,0,306.5878893822235,tully-fisher,46998.066957923256,4.383877908586812e-07
PS16el,162.802,19.3625,0.04896,9.98418,0,148.61922616021533,tully-fisher,11043.837192230616,3.834303321705517e-08
2006cq,201.105,30.9563,0.04928,10.6551,0,218.67795086911593,tully-fisher,23910.023098157737,1.8149865791131605e-07
1993ag,150.894,-35.4626,0.05019,10.7191,0,226.88458793956306,tully-fisher,25738.30812225266,2.0184107225672815e-07
PS15asb,215.085,-9.3009,0.04952,10.2884,0,177.06388773949547,tully-fisher,15675.810170712324,8.988068315852037e-08
1998dx,272.8,49.8613,0.0498,11.2793,0,313.2239742396026,tully-fisher,49054.62901922562,4.6127012978653943e-07
PS16dnp,344.915,2.1498,0.04998,8.04941,0,48.795805963163815,tully-fisher,1190.5153397973663,-7.128995789718683e-08
2007kh,48.8004,43.1703,0.04944,9.56783,0,116.94657189299788,tully-fisher,6838.250338762061,-8.450431265446321e-09
ASASSN-17eb,234.642,13.3478,0.0497,10.8378,0,242.9293542087168,tully-fisher,29507.335568132086,2.4377715824598185e-07
PS15brr,358.356,-15.6545,0.05063,9.68818,0,125.33575909293914,tully-fisher,7854.526253701637,2.857163271788298e-09
